sex,age,eyes,piercings,pierced,tattoos,tattooed,glasses,sleep,study,tv,movies,movies3m,sport,entertainment,fruit,income,rent,clothes,hair,tobacco,smokes,alcohol,buy.alcohol,sendtxt,receivetxt,txts,country,status
male,26,other,0,No,0,No,Yes,9,10,10,1,Yes,basketball,other,melon,160,80,10,40,0,No,0,No,2,2,Yes,China,NZ.Resident
female,37,brown,0,No,0,No,Yes,8,8,16,3,Yes,tennis,read.books,melon,400,250,100,120,0,No,0,No,2,5,Yes,China,NZ.Citizen
female,20,brown,4,Yes,0,No,No,8,30,2,3,Yes,none,surf.web,other,160,0,100,80,0,No,0,No,100,100,Yes,Philippines,NZ.Citizen
female,25,brown,2,Yes,0,No,Yes,10,15,0,0,No,none,comp.vid.games,strawberry,350,250,50,30,0,No,0,No,2,2,Yes,SKorea,International
female,24,brown,2,Yes,0,No,Yes,8,14,8,4,Yes,none,meet.friends,grapes,400,150,80,40,0,No,0,No,20,10,Yes,Indonesia,NZ.Resident
female,19,brown,10,Yes,3,Yes,No,7,15,14,4,Yes,rugby.league,parties,other,400,50,200,22,50,Yes,80,Yes,127,127,Yes,NZ,NZ.Citizen
male,28,blue,0,No,0,No,No,6,20,5,3,Yes,martial.arts,other,banana,240,80,10,20,0,No,2,Yes,5,5,Yes,NZ,NZ.Resident
male,20,blue,0,No,0,No,No,8,14,14,4,Yes,rugby.union,meet.friends,other,90,20,50,0,0,No,0,No,35,35,Yes,SAfrica,NZ.Citizen
female,21,hazel,2,Yes,0,No,No,9,7,2,2,Yes,other,comp.vid.games,strawberry,210,120,100,30,0,No,5,Yes,20,25,Yes,China,NZ.Resident
male,18,other,1,Yes,0,No,No,8,0,2,3,Yes,soccer,comp.vid.games,banana,200,0,100,25,0,No,0,No,3,5,Yes,SKorea,NZ.Resident
male,21,blue,1,Yes,5,Yes,No,8,10,4,8,Yes,martial.arts,parties,raspberry,300,200,0,0,0,No,30,Yes,50,80,Yes,Russia,NZ.Citizen
female,23,other,2,Yes,0,No,No,7,3,3,2,Yes,badminton,meet.friends,grapes,4000,500,150,40,0,No,0,No,20,5,Yes,China,International
male,25,brown,0,No,0,No,Yes,9,28,14,3,Yes,basketball,meet.friends,blueberry,200,140,30,20,0,No,7,Yes,5,3,Yes,China,NZ.Resident
male,22,other,0,No,0,No,Yes,7,30,2,3,Yes,badminton,meet.friends,melon,130,0,30,0,0,No,5,Yes,20,20,Yes,HK,NZ.Citizen
male,23,hazel,1,Yes,0,No,No,7,20,2,2,Yes,none,comp.vid.games,strawberry,310,155,50,50,0,No,10,Yes,20,20,Yes,NZ,NZ.Citizen
female,38,blue,4,Yes,0,No,Yes,7,25,6,4,Yes,netball,meet.friends,grapes,220,70,30,35,0,No,10,Yes,10,10,Yes,NZ,NZ.Citizen
female,22,brown,0,No,0,No,Yes,7,5,15,2,Yes,badminton,movies,orange,150,0,50,20,0,No,0,No,5,5,Yes,Fiji,NZ.Citizen
female,19,brown,2,Yes,0,No,Yes,8,10,8,2,Yes,soccer,read.books,other,250,0,50,10,0,No,0,No,15,10,Yes,India,NZ.Citizen
female,26,other,2,Yes,0,No,Yes,8,20,10,3,Yes,table.tennis,other,apple,250,250,0,15,0,No,0,No,5,5,Yes,China,NZ.Resident
male,21,green,1,Yes,0,No,Yes,7,3,10,5,Yes,other,read.books,melon,250,0,200,50,0,No,0,No,30,30,Yes,NZ,NZ.Citizen
female,19,brown,2,Yes,0,No,Yes,8,25,15,0,No,rugby.union,meet.friends,banana,125,140,100,120,0,No,10,Yes,5,5,Yes,NZ,NZ.Citizen
male,23,hazel,0,No,0,No,Yes,8,30,5,0,No,basketball,read.books,strawberry,800,140,0,10,0,No,0,No,20,15,Yes,China,International
male,21,brown,0,No,0,No,No,8,8,10,6,Yes,basketball,surf.web,grapes,0,0,50,12,0,No,0,No,10,10,Yes,China,NZ.Resident
male,19,brown,0,No,0,No,Yes,5,10,9,1,Yes,hockey,parties,raspberry,120,0,300,35,0,No,40,Yes,127,127,Yes,NZ,NZ.Citizen
female,19,blue,2,Yes,0,No,Yes,7,40,5,6,Yes,other,meet.friends,orange,210,145,10,200,0,No,0,No,0,0,No,NZ,NZ.Citizen
female,20,brown,2,Yes,0,No,No,8,20,0,2,Yes,badminton,other,strawberry,180,60,0,0,0,No,0,No,20,15,Yes,China,NZ.Citizen
female,22,brown,3,Yes,0,No,No,7,10,14,0,No,badminton,meet.friends,other,166,0,20,0,0,No,0,No,10,10,Yes,China,NZ.Resident
male,30,green,0,No,0,No,No,8,30,20,3,Yes,athletics,read.books,other,500,0,100,15,0,No,0,No,10,10,Yes,Russia,NZ.Resident
female,23,brown,0,No,0,No,Yes,8,12,1,7,Yes,soccer,meet.friends,other,350,100,200,40,0,No,6,Yes,15,15,Yes,China,International
female,18,brown,2,Yes,0,No,No,7,21,56,1,Yes,cricket,meet.friends,banana,127,0,0,0,0,No,0,No,30,30,Yes,NZ,NZ.Citizen
male,22,blue,0,No,0,No,No,8,25,14,0,No,soccer,live.mod.music,strawberry,145,0,0,30,0,No,30,Yes,10,10,Yes,NZ,NZ.Citizen
female,18,brown,0,No,0,No,Yes,9,15,2,3,Yes,hockey,meet.friends,peach,150,0,25,25,0,No,0,No,1,1,Yes,China,NZ.Citizen
male,25,brown,1,Yes,0,No,Yes,7,6,6,2,Yes,soccer,meet.friends,grapes,600,120,100,45,0,No,60,Yes,20,20,Yes,Japan,NZ.Resident
male,25,blue,0,No,0,No,No,8,10,2,0,No,other,live.mod.music,strawberry,400,170,200,30,0,No,80,Yes,4,4,Yes,NZ,NZ.Citizen
male,21,brown,0,No,0,No,No,8,20,1,4,Yes,badminton,meet.friends,grapes,1500,0,200,25,0,No,0,No,20,30,Yes,China,NZ.Resident
female,21,hazel,0,No,0,No,No,8,10,1,3,Yes,other,live.mod.music,strawberry,100,0,20,20,0,No,0,No,20,20,Yes,China,NZ.Resident
female,26,other,3,Yes,0,No,No,7,0,15,2,Yes,other,meet.friends,other,750,160,100,200,0,No,50,Yes,2,3,Yes,NZ,NZ.Citizen
female,27,hazel,0,No,0,No,Yes,7,18,3,3,Yes,other,meet.friends,melon,160,100,200,20,0,No,20,Yes,20,20,Yes,China,NZ.Resident
male,22,brown,0,No,0,No,Yes,7,20,6,2,Yes,soccer,surf.web,orange,200,0,100,40,0,No,0,No,20,20,Yes,Taiwan,NZ.Citizen
female,27,brown,0,No,0,No,Yes,7,15,2,4,Yes,badminton,meet.friends,strawberry,450,250,50,50,0,No,0,No,20,30,Yes,Taiwan,International
female,24,brown,2,Yes,0,No,Yes,8,12,2,3,Yes,none,meet.friends,melon,200,0,500,55,12,Yes,0,No,20,20,Yes,HK,International
male,21,brown,0,No,0,No,Yes,7,10,4,4,Yes,basketball,other,apple,72,0,200,12,0,No,0,No,100,100,Yes,Taiwan,NZ.Citizen
male,19,other,0,No,0,No,No,8,2,0,10,Yes,soccer,comp.vid.games,orange,160,80,100,10,0,No,15,Yes,40,40,Yes,SKorea,NZ.Citizen
female,21,brown,2,Yes,0,No,No,6,15,2,1,Yes,rugby.union,other,orange,150,100,20,0,0,No,0,No,50,50,Yes,NZ,NZ.Citizen
male,44,blue,0,No,0,No,No,8,35,2,0,No,athletics,movies,grapes,20,0,80,20,0,No,10,Yes,0,0,No,NZ,NZ.Citizen
male,25,brown,0,No,0,No,No,6,5,1,7,Yes,badminton,comp.vid.games,apple,150,0,20,15,0,No,10,Yes,40,40,Yes,HK,NZ.Resident
female,22,brown,4,Yes,0,No,Yes,7,15,20,3,Yes,badminton,comp.vid.games,orange,150,0,50,20,0,No,0,No,50,50,Yes,China,NZ.Resident
female,21,brown,2,Yes,0,No,No,6,15,15,5,Yes,badminton,surf.web,raspberry,150,0,150,25,0,No,0,No,10,15,Yes,India,NZ.Resident
female,21,brown,2,Yes,0,No,Yes,8,8,2,3,Yes,other,meet.friends,orange,300,230,40,35,0,No,10,Yes,5,3,Yes,China,International
female,21,brown,3,Yes,0,No,Yes,8,3,5,3,Yes,basketball,meet.friends,peach,200,200,50,30,0,No,0,No,20,20,Yes,SKorea,International
male,21,blue,0,No,0,No,Yes,7,21,6,20,Yes,golf,movies,apple,1000,240,160,20,0,No,100,Yes,50,70,Yes,SKorea,International
male,21,brown,0,No,0,No,No,8,20,8,2,Yes,basketball,movies,grapes,80,40,0,25,0,No,0,No,25,30,Yes,SKorea,NZ.Citizen
female,22,brown,2,Yes,0,No,Yes,9,15,7,2,Yes,soccer,surf.web,blueberry,280,40,50,33,0,No,5,Yes,20,20,Yes,SKorea,NZ.Citizen
male,19,other,0,No,0,No,Yes,8,7,0,4,Yes,basketball,comp.vid.games,peach,140,80,100,25,0,No,0,No,10,10,Yes,NZ,NZ.Citizen
male,26,brown,0,No,0,No,No,7,50,2,5,Yes,basketball,watch.sport,melon,600,100,500,25,50,Yes,20,Yes,20,20,Yes,China,NZ.Resident
male,18,brown,0,No,0,No,Yes,9,10,2,1,Yes,netball,meet.friends,melon,180,0,100,35,0,No,0,No,100,120,Yes,NZ,NZ.Citizen
male,21,brown,0,No,0,No,Yes,5,1,0,0,No,basketball,comp.vid.games,grapes,200,43,0,25,0,No,20,Yes,10,10,Yes,Malaysia,International
female,26,brown,3,Yes,0,No,No,6,15,3,10,Yes,other,meet.friends,melon,400,150,200,80,5,Yes,10,Yes,60,40,Yes,Philippines,NZ.Citizen
female,19,brown,2,Yes,0,No,Yes,11,2,2,10,Yes,other,surf.web,other,300,180,200,25,0,No,10,Yes,20,20,Yes,China,NZ.Resident
male,20,brown,0,No,0,No,Yes,7,20,7,6,Yes,soccer,watch.sport,orange,126,0,0,12,0,No,0,No,10,10,Yes,HK,NZ.Citizen
male,19,brown,0,No,0,No,Yes,8,10,0,0,No,badminton,comp.vid.games,peach,0,100,50,40,0,No,0,No,50,100,Yes,China,NZ.Citizen
male,27,green,0,No,0,No,Yes,9,1,2,2,Yes,cricket,live.mod.music,other,800,120,20,70,0,No,30,Yes,10,10,Yes,NZ,NZ.Citizen
male,21,other,2,Yes,0,No,Yes,8,25,5,11,Yes,soccer,watch.sport,strawberry,200,0,10,25,0,No,10,Yes,50,50,Yes,SKorea,NZ.Resident
female,20,brown,6,Yes,0,No,Yes,8,12,5,5,Yes,soccer,meet.friends,melon,160,0,30,30,0,No,0,No,15,15,Yes,SriLanka,NZ.Citizen
male,21,brown,0,No,0,No,No,9,63,21,1,Yes,hockey,meet.friends,banana,370,0,200,25,0,No,40,Yes,90,90,Yes,NZ,NZ.Citizen
female,21,brown,6,Yes,0,No,Yes,8,20,10,12,Yes,badminton,other,melon,120,0,150,35,0,No,0,No,10,10,Yes,Cambodia,NZ.Citizen
female,30,brown,2,Yes,0,No,Yes,9,12,1,0,No,none,comp.vid.games,blueberry,160,280,0,25,0,No,0,No,1,1,Yes,NZ,NZ.Citizen
male,19,brown,1,Yes,1,Yes,Yes,10,14,7,15,Yes,other,movies,other,470,270,0,30,14,Yes,20,Yes,5,10,Yes,SKorea,NZ.Citizen
male,23,brown,0,No,0,No,Yes,8,20,5,10,Yes,basketball,comp.vid.games,grapes,200,80,20,10,0,No,0,No,52,48,Yes,China,NZ.Citizen
male,21,hazel,0,No,0,No,No,8,60,3,4,Yes,other,meet.friends,other,250,110,20,25,0,No,20,Yes,15,15,Yes,NZ,NZ.Citizen
female,26,brown,2,Yes,0,No,Yes,10,3,5,2,Yes,softball,comp.vid.games,apple,500,0,100,0,0,No,100,Yes,10,10,Yes,China,NZ.Resident
female,21,brown,0,No,0,No,Yes,8,8,4,1,Yes,badminton,movies,peach,300,0,500,40,0,No,0,No,30,30,Yes,Taiwan,NZ.Resident
female,24,brown,5,Yes,0,No,No,5,5,10,3,Yes,other,movies,other,210,120,5,0,5,Yes,20,Yes,20,20,Yes,NZ,NZ.Citizen
male,21,brown,0,No,0,No,No,5,15,2,2,Yes,none,meet.friends,blueberry,150,0,50,50,0,No,20,Yes,15,15,Yes,NZ,NZ.Citizen
male,27,hazel,0,No,0,No,Yes,7,40,0,1,Yes,soccer,watch.sport,strawberry,200,150,10,10,5,Yes,10,Yes,20,20,Yes,China,NZ.Resident
male,29,brown,0,No,0,No,No,6,20,1,1,Yes,basketball,surf.web,melon,120,105,30,10,0,No,8,Yes,3,3,Yes,China,International
female,28,brown,0,No,0,No,No,9,5,0,2,Yes,other,meet.friends,other,365,0,100,50,0,No,30,Yes,2,2,Yes,SKorea,NZ.Citizen
female,21,brown,3,Yes,0,No,No,7,15,15,7,Yes,rugby.union,meet.friends,orange,370,0,200,100,0,No,50,Yes,20,30,Yes,NZ,NZ.Citizen
male,25,other,0,No,0,No,No,7,10,20,3,Yes,soccer,comp.vid.games,melon,1000,0,200,20,30,Yes,100,Yes,10,20,Yes,China,NZ.Resident
female,20,brown,2,Yes,0,No,Yes,9,15,13,9,Yes,rugby.union,meet.friends,apple,200,0,100,25,0,No,0,No,100,100,Yes,NZ,NZ.Citizen
female,21,other,3,Yes,0,No,No,6,3,2,2,Yes,other,movies,kiwifruit,127,0,100,25,0,No,0,No,10,20,Yes,SKorea,NZ.Resident
male,20,brown,2,Yes,0,No,No,9,4,4,2,Yes,soccer,watch.sport,strawberry,192,0,0,15,0,No,25,Yes,2,5,Yes,SKorea,NZ.Citizen
male,26,brown,0,No,0,No,Yes,8,1,1,0,No,other,comp.vid.games,strawberry,150,0,100,25,60,Yes,100,Yes,20,20,Yes,SKorea,NZ.Resident
female,20,brown,2,Yes,0,No,Yes,8,13,16,1,Yes,netball,craft,grapes,100,0,40,25,0,No,0,No,15,20,Yes,NZ,NZ.Citizen
female,20,brown,3,Yes,0,No,Yes,7,28,7,6,Yes,other,parties,other,190,90,100,15,0,No,0,No,127,127,Yes,SKorea,NZ.Citizen
female,21,brown,1,Yes,0,No,Yes,5,10,0,4,Yes,none,movies,grapes,270,100,50,60,0,No,0,No,20,20,Yes,China,NZ.Resident
male,21,blue,0,No,1,Yes,No,8,4,4,6,Yes,other,comp.vid.games,banana,0,50,50,20,0,No,20,Yes,5,5,Yes,NZ,NZ.Citizen
female,23,other,2,Yes,0,No,Yes,6,20,3,1,Yes,badminton,ballet,apple,200,290,50,20,0,No,0,No,20,25,Yes,Bolivia,NZ.Citizen
male,21,brown,0,No,0,No,Yes,7,7,14,5,Yes,tennis,comp.vid.games,strawberry,160,150,200,16,0,No,5,Yes,50,20,Yes,China,NZ.Resident
female,20,brown,2,Yes,0,No,Yes,6,20,20,2,Yes,golf,meet.friends,strawberry,200,0,100,30,0,No,10,Yes,20,20,Yes,SKorea,NZ.Citizen
female,32,brown,3,Yes,0,No,No,10,60,7,1,Yes,none,movies,other,160,100,20,45,0,No,0,No,30,30,Yes,China,NZ.Resident
male,20,other,0,No,0,No,No,8,2,5,4,Yes,none,other,apple,150,0,10,15,0,No,1,Yes,10,10,Yes,Malaysia,NZ.Resident
male,19,brown,0,No,0,No,Yes,8,12,20,3,Yes,table.tennis,other,melon,100,80,50,25,0,No,30,Yes,25,25,Yes,SKorea,NZ.Resident
female,23,brown,7,Yes,3,Yes,Yes,5,2,0,1,Yes,hockey,parties,peach,350,0,300,86,0,No,10,Yes,50,50,Yes,Fiji,NZ.Citizen
female,22,other,2,Yes,0,No,Yes,8,10,0,3,Yes,other,meet.friends,none,150,175,40,30,0,No,20,Yes,20,20,Yes,HK,International
male,21,hazel,0,No,0,No,Yes,7,15,10,2,Yes,soccer,movies,melon,150,0,20,20,0,No,0,No,15,15,Yes,Iraq,NZ.Citizen
female,21,brown,2,Yes,0,No,Yes,8,8,10,3,Yes,basketball,other,strawberry,200,0,200,20,0,No,0,No,10,10,Yes,NZ,NZ.Citizen
female,20,brown,2,Yes,0,No,Yes,7,7,3,3,Yes,other,read.books,strawberry,155,100,0,40,0,No,0,No,5,5,Yes,SKorea,NZ.Citizen
male,21,brown,0,No,0,No,Yes,10,10,5,5,Yes,basketball,meet.friends,blueberry,300,0,150,20,0,No,20,Yes,50,50,Yes,HK,NZ.Citizen
female,24,brown,2,Yes,1,Yes,No,7,7,4,0,No,rugby.union,other,other,150,100,50,0,0,No,0,No,60,70,Yes,Tonga,NZ.Resident
male,27,brown,1,Yes,0,No,No,7,10,2,2,Yes,rugby.union,meet.friends,grapes,300,100,0,10,40,Yes,40,Yes,50,50,Yes,Malaysia,NZ.Resident
female,21,brown,11,Yes,0,No,Yes,8,15,10,1,Yes,hockey,meet.friends,orange,395,0,100,25,0,No,0,No,100,100,Yes,NZ,NZ.Citizen
female,20,other,0,No,0,No,Yes,9,15,5,3,Yes,sailing,meet.friends,raspberry,300,160,50,15,0,No,5,Yes,10,5,Yes,China,International
male,20,brown,0,No,0,No,Yes,7,8,4,3,Yes,basketball,other,grapes,400,0,100,20,0,No,0,No,50,40,Yes,China,NZ.Resident
female,20,brown,3,Yes,0,No,Yes,7,20,20,10,Yes,netball,meet.friends,peach,336,0,120,0,0,No,0,No,50,50,Yes,NZ,NZ.Citizen
female,20,brown,2,Yes,0,No,No,9,10,6,1,Yes,hockey,meet.friends,apple,250,0,300,40,0,No,20,Yes,30,35,Yes,NZ,NZ.Citizen
male,21,brown,1,Yes,0,No,Yes,9,6,12,6,Yes,rugby.league,comp.vid.games,melon,100,0,50,20,0,No,20,Yes,40,30,Yes,India,NZ.Citizen
male,24,brown,0,No,0,No,No,8,6,0,18,Yes,none,movies,strawberry,300,300,0,25,0,No,0,No,127,100,Yes,China,NZ.Resident
female,22,brown,2,Yes,1,Yes,No,6,8,2,4,Yes,soccer,meet.friends,peach,300,100,80,25,25,Yes,20,Yes,7,7,Yes,Bangladesh,NZ.Citizen
female,21,blue,2,Yes,0,No,Yes,8,20,1,2,Yes,basketball,read.books,apple,160,150,80,0,10,Yes,25,Yes,30,30,Yes,NZ,NZ.Citizen
male,23,brown,0,No,0,No,Yes,8,7,0,3,Yes,table.tennis,comp.vid.games,melon,220,170,10,25,0,No,0,No,20,20,Yes,China,NZ.Citizen
female,22,other,3,Yes,0,No,Yes,8,20,5,4,Yes,none,orchestra,strawberry,240,0,200,30,0,No,0,No,3,2,Yes,China,International
male,22,brown,1,Yes,0,No,Yes,8,16,5,3,Yes,basketball,comp.vid.games,apple,210,300,1000,40,0,No,0,No,2,2,Yes,China,International
female,28,brown,0,No,0,No,Yes,6,40,10,0,No,basketball,movies,kiwifruit,0,85,0,15,0,No,0,No,1,1,Yes,China,International
female,23,blue,0,No,0,No,Yes,8,55,5,2,Yes,soccer,craft.activities,melon,400,200,100,100,0,No,25,Yes,3,3,Yes,Norway,International
female,21,brown,0,No,0,No,No,5,20,15,2,Yes,badminton,parties,other,300,200,100,0,0,No,0,No,5,4,Yes,Malaysia,International
female,24,hazel,0,No,0,No,Yes,8,8,4,0,No,badminton,surf.web,apple,200,120,200,35,0,No,0,No,10,5,Yes,China,International
female,21,brown,3,Yes,0,No,Yes,9,26,8,3,Yes,none,parties,grapes,400,0,1000,60,0,No,10,Yes,8,5,Yes,China,International
male,20,brown,0,No,0,No,No,6,10,1,1,Yes,rugby.union,watch.sport,grapes,200,280,100,40,0,No,20,Yes,5,5,Yes,Japan,International
female,20,brown,2,Yes,0,No,Yes,9,7,14,5,Yes,none,movies,strawberry,50,280,0,15,0,No,0,No,5,5,Yes,S.Korea,International
female,22,other,1,Yes,0,No,Yes,6,18,10,2,Yes,none,surf.web,orange,315,113,100,0,0,No,0,No,5,5,Yes,Malaysia,International
female,22,blue,0,No,0,No,No,8,60,3,3,Yes,basketball,meet.friends,kiwifruit,530,180,500,50,0,No,20,Yes,5,5,Yes,Norway,International
female,20,brown,2,Yes,0,No,Yes,7,30,2,0,No,sailing,meet.friends,orange,450,300,50,0,0,No,0,No,15,10,Yes,Bahrain,International
female,19,other,4,Yes,0,No,No,10,20,15,10,Yes,tennis,surf.web,other,500,300,200,40,0,No,0,No,10,10,Yes,China,International
male,23,hazel,2,Yes,1,Yes,Yes,7,20,3,8,Yes,basketball,meet.friends,apple,160,150,100,25,0,No,15,Yes,10,10,Yes,China,International
female,22,brown,0,No,0,No,Yes,8,25,0,7,Yes,sailing,meet.friends,grapes,400,175,50,55,0,No,5,Yes,10,10,Yes,China,International
female,21,brown,0,No,0,No,Yes,8,20,5,6,Yes,badminton,parties,orange,200,160,50,30,0,No,0,No,10,10,Yes,Fiji,International
female,21,other,3,Yes,0,No,No,8,8,2,3,Yes,other,comp.vid.games,banana,700,500,1000,60,0,No,40,Yes,10,10,Yes,HK,International
male,20,other,0,No,0,No,Yes,8,4,1,1,Yes,other,meet.friends,banana,230,180,50,35,0,No,0,No,10,10,Yes,Japan,International
male,25,other,0,No,0,No,Yes,7,10,0,5,Yes,soccer,comp.vid.games,orange,250,240,20,25,0,No,0,No,10,10,Yes,S.Korea,International
female,22,brown,2,Yes,0,No,Yes,7,21,14,2,Yes,golf,surf.web,apple,70,400,50,150,0,No,50,Yes,10,10,Yes,S.Korea,International
male,22,other,0,No,0,No,Yes,7,60,0,1,Yes,other,other,peach,150,75,0,12,0,No,0,No,10,10,Yes,S.Korea,International
female,21,brown,0,No,0,No,No,7,15,5,0,No,netball,other,banana,300,120,100,0,0,No,0,No,10,10,Yes,Malaysia,International
male,26,blue,0,No,1,Yes,No,7,25,7,4,Yes,other,other,banana,1500,190,300,100,0,No,30,Yes,8,10,Yes,Norway,International
female,21,brown,7,Yes,2,Yes,Yes,8,18,3,0,No,soccer,meet.friends,banana,140,140,25,20,0,No,15,Yes,15,12,Yes,US,International
male,21,hazel,0,No,0,No,Yes,7,25,3,5,Yes,soccer,craft.activities,melon,300,300,90,20,0,No,10,Yes,20,15,Yes,China,International
female,21,other,2,Yes,0,No,No,7,20,10,3,Yes,other,meet.friends,grapes,300,150,100,50,0,No,0,No,15,15,Yes,Malaysia,International
female,22,other,0,No,0,No,Yes,6,21,4,0,No,none,meet.friends,raspberry,400,112,10,5,0,No,0,No,15,15,Yes,Malaysia,International
female,20,brown,2,Yes,0,No,No,8,30,3,1,Yes,cycling,meet.friends,strawberry,400,250,50,20,0,No,0,No,50,20,Yes,Bahrain,International
